job_id,skills
744.0,sql
746.0,cloud
746.0,aws
746.0,python
746.0,sql
746.0,ai
746.0,machine_learning
746.0,spark
750.0,database
750.0,cloud
750.0,powerbi
750.0,agile
750.0,python
750.0,linux
750.0,docker
750.0,server
750.0,bi
750.0,devops
750.0,spark
750.0,warehousing
750.0,microsoft
750.0,ci/cd
750.0,aws
750.0,pyspark
750.0,etl
750.0,machine_learning
750.0,snowflake
750.0,sql
750.0,ai
750.0,azure
750.0,mlops
750.0,postgres
752.0,database
752.0,cloud
752.0,data_lake
752.0,python
752.0,server
752.0,gcp
752.0,slack
752.0,spark
752.0,github
752.0,warehousing
752.0,ci/cd
752.0,aws
752.0,mysql
752.0,snowflake
752.0,sql
752.0,azure
752.0,airflow
752.0,postgres
754.0,r
754.0,warehousing
754.0,database
754.0,git
754.0,cloud
754.0,aws
754.0,ai
754.0,python
754.0,redshift
754.0,etl
754.0,ci/cd
754.0,machine_learning
754.0,snowflake
754.0,sql
754.0,azure
754.0,spark
755.0,r
755.0,mssql
755.0,oracle
755.0,database
755.0,mysql
755.0,sql
755.0,server
761.0,excel
761.0,github
761.0,warehousing
761.0,cloud
761.0,agile
761.0,python
761.0,tableau
761.0,etl
761.0,linux
761.0,sql
761.0,nosql
761.0,sharepoint
761.0,spark
770.0,backend
770.0,ci/cd
770.0,agile
770.0,python
770.0,sql
770.0,devops
770.0,azure
771.0,postgres
771.0,looker
771.0,sql
773.0,bash
773.0,database
773.0,airflow
773.0,cloud
773.0,aws
773.0,pyspark
773.0,python
773.0,redshift
773.0,etl
773.0,bigquery
773.0,hadoop
773.0,snowflake
773.0,sql
773.0,spark
777.0,bash
777.0,warehousing
777.0,ci/cd
777.0,cloud
777.0,aws
777.0,python
777.0,sql
777.0,c
781.0,aws
781.0,ai
781.0,python
781.0,etl
782.0,bash
782.0,warehousing
782.0,cloud
782.0,aws
782.0,python
782.0,redshift
782.0,bigquery
782.0,hadoop
782.0,snowflake
782.0,sql
782.0,postgres
782.0,spark
786.0,linux
787.0,database
787.0,cloud
787.0,gcp
787.0,aws
787.0,python
787.0,redshift
787.0,bigquery
787.0,machine_learning
787.0,snowflake
787.0,sql
787.0,mlops
788.0,cloud
788.0,aws
788.0,azure
791.0,microsoft
791.0,outlook
791.0,sas
791.0,sql
791.0,sharepoint
791.0,excel
793.0,
794.0,git
794.0,cloud
794.0,python
794.0,sql
794.0,ai
794.0,machine_learning
802.0,oracle
802.0,unix
802.0,shell
802.0,aws
802.0,python
802.0,snowflake
802.0,sql
803.0,python
803.0,c
803.0,sql
808.0,database
808.0,cloud
808.0,powerbi
808.0,agile
808.0,python
808.0,linux
808.0,docker
808.0,server
808.0,bi
808.0,devops
808.0,spark
808.0,warehousing
808.0,microsoft
808.0,ci/cd
808.0,aws
808.0,pyspark
808.0,etl
808.0,machine_learning
808.0,snowflake
808.0,sql
808.0,ai
808.0,azure
808.0,mlops
808.0,postgres
809.0,r
809.0,python
809.0,sql
809.0,apache
809.0,spark
810.0,python
810.0,warehousing
810.0,database
810.0,aws
810.0,mysql
810.0,redshift
810.0,etl
810.0,nosql
810.0,snowflake
810.0,sql
820.0,cloud
820.0,aws
820.0,azure
821.0,scala
821.0,database
821.0,cloud
821.0,gcp
821.0,java
821.0,data_lake
821.0,aws
821.0,python
821.0,paas
821.0,bi
821.0,machine_learning
821.0,azure
821.0,spark
823.0,database
823.0,python
823.0,looker
823.0,tableau
823.0,sql
823.0,nosql
830.0,cloud
830.0,python
830.0,spark
830.0,java
830.0,aws
830.0,sql
830.0,azure
830.0,scala
830.0,airflow
830.0,c++
831.0,database
